Annotator ID,Pool
CredCo-3A.1,CredCo
CredCo-3A.2,CredCo
CredCo-3A.3,CredCo
CredCo-3AA.1,CredCo
CredCo-3AA.10,CredCo
CredCo-3AA.11,CredCo
CredCo-3AA.12,CredCo
CredCo-3AA.14,CredCo
CredCo-3AA.15,CredCo
CredCo-3AA.16,CredCo
CredCo-3AA.17,CredCo
CredCo-3AA.18,CredCo
CredCo-3AA.19,CredCo
CredCo-3AA.2,CredCo
CredCo-3AA.20,CredCo
CredCo-3AA.21,CredCo
CredCo-3AA.22,CredCo
CredCo-3AA.23,CredCo
CredCo-3AA.24,CredCo
CredCo-3AA.25,CredCo
CredCo-3AA.26,CredCo
CredCo-3AA.27,CredCo
CredCo-3AA.28,CredCo
CredCo-3AA.29,CredCo
CredCo-3AA.3,CredCo
CredCo-3AA.30,CredCo
CredCo-3AA.31,CredCo
CredCo-3AA.32,CredCo
CredCo-3AA.4,CredCo
CredCo-3AA.5,CredCo
CredCo-3AA.6,CredCo
CredCo-3AA.7,CredCo
CredCo-3AA.8,CredCo
CredCo-3AA.9,CredCo
CredCo-3B.1,CredCo
CredCo-3B.2,CredCo
CredCo-3B.3,CredCo
CredCo-3C.1,CredCo
CredCo-3C.2,CredCo
CredCo-3C.3,CredCo
CredCo-3D.1,CredCo
CredCo-3D.2,CredCo
CredCo-3D.3,CredCo
CredCo-3AA.13,CredCo
CredCo-3AA.33,Upwork
CredCo-3AA.34,CredCo
CredCo-3AA.35,CredCo
CredCo-3AA.36,CredCo
CredCo-3AA.37,CredCo
CredCo-3AA.38,CredCo
CredCo-3AA.39,Upwork
CredCo-3AA.40,Upwork
CredCo-3AA.42,Upwork
CredCo-3AA.43,Upwork
CredCo-3AA.44,Upwork
CredCo-3AA.45,Upwork
CredCo-3AA.46,Upwork
CredCo-3AA.47,Upwork
CredCo-3AA.48,Upwork
CredCo-3AA.49,Upwork
CredCo-3AA.50,Upwork
CredCo-3AA.51,CredCo
CredCo-3AA.52,CredCo
CredCo-3AA.53,Upwork
CredCo-3AA.54,Upwork
CredCo-3AA.55,Upwork
CredCo-3AA.57,Upwork
CredCo-3AA.58,Upwork
CredCo-3AA.59,CredCo
CredCo-3AA.60,Upwork
CredCo-3AA.61,CredCo
CredCo-3AA.62,CredCo
CredCo-3AA.63,CredCo
CredCo-3AA.65,Upwork
CredCo-3AA.66,Upwork
CredCo-3AA.67,Upwork
CredCo-3AA.68,Upwork
CredCo-3AA.70,Upwork
CredCo-3AA.71,CredCo
CredCo-3AA.73,Upwork
CredCo-3AA.74,Upwork
CredCo-3AA.76,CredCo
CredCo-3AA.77,CredCo
CredCo-3AA.78,CredCo
CredCo-3AA.79,CredCo
CredCo-3AA.81,CredCo
CredCo-3AA.82,CredCo
CredCo-3AA.84,Upwork
CredCo-3AA.85,CredCo
