ID,URL,Article Type,Score
1,http://deadstate.org/christian-pastor-blame-sin-and-abortion-for-hurricane-florence-not-climate-change/,Not sure,1) Very low credibility 
2,http://expand-your-consciousness.com/giant-dead-whale-is-haunting-reminder-of-massive-plastic-pollution-problem/ (archived: https://web.archive.org/web/20190410001427/http://expand-your-consciousness.com/giant-dead-whale-is-haunting-reminder-of-massive-plastic-pollution-problem/),News,3) Medium credibility
3,http://thehill.com/blogs/blog-briefing-room/news/391050-nasa-chief-on-changing-view-of-climate-change-i-heard-a-lot-of,News,4) Somewhat high credibility
4,http://www.foxnews.com/science/2017/11/29/scientists-call-for-global-glitter-ban-to-save-environment.html,News,3) Medium credibility
5,http://www.foxnews.com/us/2018/04/10/los-angeles-painting-city-streets-white-in-bid-to-combat-climate-change.html,News,3) Medium credibility
6,http://www.foxnews.com/us/2018/04/15/david-buckel-prominent-gay-rights-lawyer-burns-himself-to-death-in-new-york-to-protest-global-warming.html,News,4) Somewhat high credibility
7,https://arstechnica.com/science/2017/11/us-government-climate-report-climate-change-is-real-and-our-fault/,News,4) Somewhat high credibility
8,https://blogs.scientificAmerican.com/observations/more-recycling-wont-solve-plastic-pollution/,Opinion,4) Somewhat high credibility
9,https://dailycaller.com/2017/11/29/study-satellites-show-no-acceleration-in-global-warming-for-23-years/,News,3) Medium credibility
10,https://e360.yale.edu/digest/a-north-american-climate-boundary-has-shifted-140-miles-east-due-to-global-warming,News,4) Somewhat high credibility
11,https://joeforamerica.com/2017/11/31000-scientists-declare-al-gore-liar-climate-change-complete-hoax-scam/ (archive: https://web.archive.org/web/20180320092655/https://joeforamerica.com/2017/11/31000-scientists-declare-al-gore-liar-climate-change-complete-hoax-scam/),Analysis,1) Very low credibility 
12,https://www.bbc.co.uk/news/science-environment-45084144,Analysis,5) Very high credibility
13,https://www.bostonglobe.com/opinion/2018/02/20/trump-breaking-environment-beyond-repair/sc8Kg39ehzrMCh7jBKNtlJ/story.html,Opinion,4) Somewhat high credibility
14,https://www.breitbart.com/big-government/2017/10/24/delingpole-now-400-scientific-papers-in-2017-say-global-warming-is-a-myth/,Opinion,1) Very low credibility 
15,https://www.breitbart.com/big-government/2018/01/05/this-bitter-cold-is-what-global-warming-looks-like-explains-al-gore/,Opinion,1) Very low credibility 
16,https://www.breitbart.com/california/2017/12/09/jerry-brown-blames-climate-change-california-fires-new-normal/,News,3) Medium credibility
17,https://www.breitbart.com/london/2018/01/24/private-jets-davos-climate-change/,News,3) Medium credibility
18,https://www.cbsnews.com/news/pope-francis-denounces-climate-change-deniers/,News,5) Very high credibility
19,https://www.cnn.com/interactive/2017/11/world/greenland-global-warning,Analysis,4) Somewhat high credibility
20,https://www.dailykos.com/story/2018/2/25/1744671/-Scott-Pruitt-says-he-s-doing-God-s-work-by-ignoring-climate-change-and-repealing-Clean-Power-Act,Opinion,1) Very low credibility 
21,https://www.dailywire.com/news/24815/sorry-obama-trump-drops-climate-change-national-amanda-prestigiacomo,Analysis,1) Very low credibility 
22,https://www.dailywire.com/news/25446/al-gore-global-warming-means-bitter-cold-duh-joseph-curl,Opinion,1) Very low credibility 
23,https://www.dailywire.com/news/26976/study-these-islands-sinking-global-warming-are-james-barrett,News,2) Somewhat low credibility 
24,https://www.dailywire.com/news/33782/fake-news-nat-geo-admits-viral-photo-polar-bear-amanda-prestigiacomo,Not sure,1) Very low credibility 
25,https://www.economist.com/leaders/2018/08/02/the-world-is-losing-the-war-against-climate-change  (archived version: https://web.archive.org/web/20190102150952/https://www.economist.com/leaders/2018/08/02/the-world-is-losing-the-war-against-climate-change),Analysis,5) Very high credibility
26,https://www.huffingtonpost.com/entry/climate-change-cost_us_5b11bc9de4b010565aac04fa,News,3) Medium credibility
27,https://www.huffingtonpost.com/entry/samoa-prime-minister-climate-change_us_5b8bb947e4b0511db3d98cb4,News,3) Medium credibility
28,https://www.iflscience.com/policy/epa-kill-off-obama-signature-plan-fight-climate-change/,Analysis,3) Medium credibility
29,https://www.independent.co.uk/news/world/middle-east/syria-paris-agreement-us-climate-change-donald-trump-world-country-accord-a8041996.html,News,4) Somewhat high credibility
30,https://www.newsweek.com/rush-limbaugh-says-hurricane-florence-forecast-trying-heighten-belief-climate-1117416,Not sure,2) Somewhat low credibility 
31,https://www.npr.org/sections/goatsandsoda/2017/10/19/558821792/report-pollution-kills-3-times-more-than-aids-tb-and-malaria-combined,News,5) Very high credibility
32,https://www.npr.org/sections/thetwo-way/2018/03/15/594140026/fema-drops-climate-change-from-its-strategic-plan,News,5) Very high credibility
33,https://www.npr.org/sections/thetwo-way/2018/04/19/603936455/to-curb-ocean-pollution-u-k-may-ban-plastic-straws-stirrers-and-cotton-swabs,News,5) Very high credibility
34,https://www.nytimes.com/2017/10/22/climate/epa-scientists.html,News,5) Very high credibility
35,https://www.nytimes.com/2017/11/12/climate/bonn-climate-change.html,Analysis,5) Very high credibility
36,https://www.nytimes.com/2018/08/02/climate/trump-auto-emissions-california.html,News,5) Very high credibility
37,https://www.nytimes.com/2018/09/10/climate/united-nations-climate-change.html,News,5) Very high credibility
38,https://www.nytimes.com/interactive/2018/08/01/magazine/climate-change-losing-earth.html,Analysis,5) Very high credibility
