,Case,abs_diff_mean,event,weight,year
0,Overall,12.668085106382978,,0.0,
1,Crowd,12.781659388646288,,0.0,
2,Expert,8.333333333333334,,0.0,
0,Overall,12.668085106382978,,0.1,
1,Crowd,12.781659388646288,,0.1,
2,Expert,8.333333333333334,,0.1,
0,Overall,12.668085106382978,,0.2,
1,Crowd,12.781659388646288,,0.2,
2,Expert,8.333333333333334,,0.2,
0,Overall,12.668085106382978,,0.3,
1,Crowd,12.781659388646288,,0.3,
2,Expert,8.333333333333334,,0.3,
0,Overall,12.668085106382978,,0.4,
1,Crowd,12.781659388646288,,0.4,
2,Expert,8.333333333333334,,0.4,
0,Overall,12.668085106382978,,0.5,
1,Crowd,12.781659388646288,,0.5,
2,Expert,8.333333333333334,,0.5,
0,Overall,12.693617021276596,,0.6,
1,Crowd,12.807860262008735,,0.6,
2,Expert,8.333333333333334,,0.6,
0,Overall,12.672340425531916,,0.7,
1,Crowd,12.781659388646288,,0.7,
2,Expert,8.5,,0.7,
0,Overall,12.672340425531916,,0.8,
1,Crowd,12.781659388646288,,0.8,
2,Expert,8.5,,0.8,
0,Overall,12.676595744680851,,0.9,
1,Crowd,12.790393013100436,,0.9,
2,Expert,8.333333333333334,,0.9,
0,Overall,12.527659574468085,,1.0,
1,Crowd,12.62882096069869,,1.0,
2,Expert,8.666666666666666,,1.0,
