,Case,Satisfaction,event,weight,year
0,Overall,1.8510638297872342,,0.0,
1,Crowd,1.7685589519650655,,0.0,
2,Expert,5.0,,0.0,
0,Overall,1.8510638297872342,,0.1,
1,Crowd,1.7685589519650655,,0.1,
2,Expert,5.0,,0.1,
0,Overall,1.8510638297872342,,0.2,
1,Crowd,1.7685589519650655,,0.2,
2,Expert,5.0,,0.2,
0,Overall,1.8510638297872342,,0.3,
1,Crowd,1.7685589519650655,,0.3,
2,Expert,5.0,,0.3,
0,Overall,1.8510638297872342,,0.4,
1,Crowd,1.7685589519650655,,0.4,
2,Expert,5.0,,0.4,
0,Overall,1.8510638297872342,,0.5,
1,Crowd,1.7685589519650655,,0.5,
2,Expert,5.0,,0.5,
0,Overall,1.8510638297872342,,0.6,
1,Crowd,1.7685589519650655,,0.6,
2,Expert,5.0,,0.6,
0,Overall,1.8553191489361702,,0.7,
1,Crowd,1.7729257641921399,,0.7,
2,Expert,5.0,,0.7,
0,Overall,1.8553191489361702,,0.8,
1,Crowd,1.7729257641921399,,0.8,
2,Expert,5.0,,0.8,
0,Overall,1.8595744680851065,,0.9,
1,Crowd,1.7772925764192142,,0.9,
2,Expert,5.0,,0.9,
0,Overall,1.8638297872340428,,1.0,
1,Crowd,1.7816593886462884,,1.0,
2,Expert,5.0,,1.0,
