,index,method,crowd_sat,expert_sat,satisfaction_area,satisfaction_sum
0,0,Kalai,4.783663455309982,4.935201462310897,23.61265680403827,9.718864917620898
1,1,Nash,4.789979015626148,4.930901081609336,23.623375771724817,9.720880097235474
2,2,crowd_majority,4.683462445279925,4.714153299249147,22.092570053366085,9.397615744529112
3,3,crowd_mean,4.811900514268162,4.828392520393146,23.241033420683834,9.640293034661326
4,4,crowd_median,4.817791947900249,4.845862287053537,23.35325026836744,9.663654234953789
5,5,expert_majority,4.6479141479910195,4.740186973111016,22.048235258114126,9.388101121102062
6,6,expert_mean,4.766626185035654,4.934065549326083,23.524628939568572,9.700691734361763
7,7,expert_median,4.763056326902067,4.945297154950557,23.55927441508734,9.708353481852594
8,8,majority,4.683448724792861,4.71484868660372,22.095630568974254,9.398297411396618
9,9,mean,4.812081694578543,4.8302388462888795,23.250738309727726,9.642320540867457
10,10,median,4.817773272340294,4.84836214793055,23.365136499448376,9.666135420270866
