,method,rel-crowd_sat,rel-expert_sat,rel-satisfaction_area,rel-satisfaction_sum,avg_gain,crowd_sat,expert_sat,satisfaction_area,satisfaction_sum
0,Kalai,0.9776551985399206,0.9974826774913316,0.9752421990846261,0.987848511904043,3.4241887723332396e-10,4.574041563457617,4.937658208414183,22.586482725198444,9.51169977187179
1,Nash,0.9827418235094656,0.9930790804091629,0.976124218344772,0.9880562106366577,0.014231195644233611,4.597839763542023,4.915859877706339,22.606910176760042,9.51369964124834
2,crowd_majority,0.9777940912137433,0.9230105476556081,0.9031875636281249,0.9496298536899719,0.059748632251863255,4.574691384441412,4.5690122845508725,20.91770672213345,9.143703668992277
3,crowd_mean,0.9967046752996787,0.9511080207339155,0.9478979227263881,0.9732634203885805,0.046260289344101695,4.6631661327243465,4.708098127053648,21.953192834566035,9.371264259777961
4,crowd_median,1.0,0.9440003382992586,0.9441685697696518,0.9712105557444117,0.05601430060076446,4.678583584773779,4.672914251375172,21.866821504231332,9.35149783614896
5,expert_majority,0.9590146908804171,0.958386370679374,0.9194339125069482,0.9586916712611335,0.03563299845951014,4.486830390310008,4.744126827263544,21.293970053071632,9.230957217573568
6,expert_mean,0.9732297264017852,0.9982413260571902,0.9715802064123324,0.9860881979023879,0.02541549084514236,4.553336622157284,4.941413609287858,22.501671450306677,9.49475023144512
7,expert_median,0.9718450614674364,1.0,0.9718991396840856,0.9863195245049878,0.02798266615655076,4.546858351525002,4.950119255035483,22.509057903476755,9.49697760656051
8,majority,0.9778158298751655,0.9231961144764235,0.9033844855602045,0.9497358164613101,0.059628081380639436,4.574793090585897,4.569930862443688,20.922267408516074,9.144723953029576
9,mean,0.9966985559041215,0.9518299353867339,0.9486131812853121,0.9736315835335836,0.04553583531430657,4.663137502620746,4.711671690677051,21.96975812993603,9.374809193297788
10,median,0.9999933076358958,0.9448835305364501,0.9450398260135628,0.9716613533426542,0.055124972763770284,4.678552273988938,4.677286158274401,21.886999685734125,9.355838432263326
11,w_all_grades,0.9955575792942555,0.9519186235726406,0.9476209660149422,0.973122777994324,0.04450900343840909,4.657799348183212,4.712110707773797,21.946778553083345,9.369910055957023
12,w_crowd_grades,0.9955517240890904,0.9510365260986391,0.9467360476705218,0.9726664463543573,0.04536535271905676,4.657771954116433,4.707744220082941,21.92628395910642,9.365516174199348
